Office Stock,2018-11-11,57,SFP-10G-LR=,10Gig Base Single Mode Transceiver,SFNS171606LR,1,29,27-1284-2018-19,2018-10-11,1,2019-10-10
Office Stock,2018-11-11,57,SFP-10G-LR=,10Gig Base Single Mode Transceiver,SFNS171306SF,1,29,27-1284-2018-19,2018-10-11,1,2019-10-10
Office Stock,2018-11-11,57,SFP-10G-LR=,10Gig Base Single Mode Transceiver,SFNS17521YCF,1,29,27-1284-2018-19,2018-10-11,1,2019-10-10
Office Stock,2018-11-11,57,SFP-10G-LR=,10Gig Base Single Mode Transceiver,SFNS1936011C,1,29,27-1284-2018-19,2018-10-11,1,2019-10-10
18190369,2018-10-23,24,GLC-SX-MMD=,Cisco 1000 Base SFP transceiver module,FNS18490J7Z,1,29,27-1348-2018-19,2018-10-22,1,2019-10-21
18190369,2018-10-23,24,GLC-SX-MMD=,Cisco 1000 Base SFP transceiver module,FNS184916H3,1,29,27-1348-2018-19,2018-10-22,1,2019-10-21
